公司,區域,問卷規模推估,極精簡說明
Toluna Influencers,全球,6 MUSD,2026 營收約 2.94 億美元(市調顧問)。growjo
Swagbucks,美國,3 MUSD,2024 營收約 65M。rocketreach
Premise,全球,2 MUSD,2023 營收約 30M。getlatka
LifePoints,台灣,20 MUSD,宣稱每年發放 20M。LifePoints App
OpinionWorld,台灣,5 MUSD,宣稱每年發放約 5M。swiftsalary
iX:Panel,台灣,2 MUSD,以會員數 22 萬粗估。ixresearch
東方快線市調會員網,台灣,5 MUSD,依會員數 100萬推估。iamlaura
Surveyon,亞洲,5 MUSD,依會員數 200萬推估。surveypolice
EmailCash,台灣,2 MUSD,依會員數 40萬推估。freecash.freeservers
Rakuten Insight,台灣,30 MUSD,樂天集團未單獨揭露，以規模粗估。rakuten
SurveyCake,台灣,1 MUSD,2023 營收約 1M。getlatka
Typeform,全球,140 MUSD,2024 營收約 140M。askai.glarity
SurveyMonkey,全球,700 MUSD,2024 營收約 700M。electroiq
